id,severity,surface,classification,finding,impact,evidence,required_fix,acceptance
IMP-007,P2,Sequence / Folder Drop,Compatibility risk,Folder traversal relies on nonstandard webkitGetAsEntry without a tested standards-based fallback.,"Behavior can differ across Chromium, Firefox, and future browser versions.",SequenceEditorWorkspace folder traversal API,"Provide feature detection, fallback input picker, and explicit unsupported-browser guidance.",Supported-browser matrix has passing folder and multi-file import cases.
IMP-008,P2,Sequence / Timeline Drop,Mental-model mismatch,Dropping media onto the timeline imports it to the bin rather than inserting it at the drop time/track.,The drop target visually promises an edit operation but performs a library operation.,Timeline onDrop wired to folder/media import,Either insert at the drop location or restrict import drop affordance to the bin and label it.,The result matches the visible drop target and preview indicator.
IMP-009,P2,Sequence / Folder Drop,Confirmed metadata loss,Relative folder hierarchy is discarded.,"Production organization, scene/take grouping, and provenance are lost.",Import payload stores flattened file metadata,Preserve normalized relativePath and optionally mirror bins/folders.,Nested folder structure is recoverable from imported metadata.
IMP-010,P2,Sequence / Folder Drop,Confirmed missing duplicate policy,Repeated drops create new copies without hash/size/path duplicate detection.,Disk and bins balloon; users cannot tell which duplicate is canonical.,Import server copy behavior and client messaging,"Preflight duplicates and offer skip, link existing, or copy.",Re-dropping an identical folder produces a clear duplicate decision rather than silent copies.
IMP-011,P2,Sequence / Folder Drop,Confirmed context disruption,Import resets media-tab/filter context to All.,Users lose their segment/take review context after every drop.,import completion state updates,Preserve context and offer 'Show imported'.,Import does not change the active filter unless the user chooses to reveal new assets.
IMP-012,P3,Sequence / Folder Drop,Workflow friction,Newly imported media is not automatically selected or grouped as a recent import.,Users must search for the result in a potentially large bin.,Import completion behavior,Add a recent-import group and optional selection.,The imported set is reachable in one action.
IMP-013,P2,Sequence / Folder Drop,High-confidence concurrency risk,Concurrent import requests update shared document import metadata without an evident revision/lock transaction.,Two simultaneous imports can overwrite each other's document metadata.,server import document read/modify/write flow,Use document revision checks or a serialized/atomic update.,Parallel imports preserve all entries with no lost updates.
IMP-014,P2,Sequence / Folder Drop,High-confidence collision risk,Audio destination naming uses timestamp-based naming without the same collision loop used for video.,Same-name audio uploads in a narrow time window can overwrite.,server import naming logic,Use UUID/content hash or atomic exclusive creation for every media class.,"1,000 concurrent same-name audio imports yield 1,000 distinct files."
IMP-015,P2,Sequence / Folder Drop,Confirmed silent no-op,A drop containing only unsupported files can return without actionable feedback.,Users do not know whether the drop was seen.,eligible-file filtering and early return,Always report scanned and rejected totals/reasons.,Unsupported-only drops produce a persistent explanatory result.
IMP-016,P2,Sequence / Folder Drop,Confirmed recovery gap,There is no failed-only retry or exportable error list.,Users must re-drop entire folders and risk more duplicates.,Import result UI,Retain a session result object with retry/export.,Retry failed reprocesses only failed items.
IMP-017,P3,Sequence / Folder Drop,Operational scalability risk,Repeated imports can grow both disk copies and imports metadata without cleanup/retention tools.,Projects accumulate difficult-to-manage storage and metadata debt.,Copy-on-import and document imports model,"Add storage usage, duplicate cleanup, and orphan management.",Users can identify and safely remove unused imported copies.
COMFY-004,P2,Comfy Picker,Confirmed HTTP handling defect,Workflow-list responses are parsed as JSON without checking response.ok.,HTTP errors collapse into confusing loading/empty behavior.,ComfyUIWorkspace Promise.all list requests,Validate status and retain per-source error diagnostics.,404/500/invalid JSON each produce source-specific actionable states.
COMFY-005,P2,Comfy Picker,Confirmed state-model weakness,"Loading, empty, partial, and error states are not cleanly distinguished; 'Loading workflows…' can persist indefinitely.","Users cannot tell whether to wait, repair setup, or retry.",Comfy workflow-list state/render logic,Use an explicit state machine and retry control.,"Every request terminates in loaded, partial, empty, or error with a next action."
COMFY-006,P2,Comfy Picker,Confirmed UI contract defect,Catalog readiness is captured but options are not disabled when unready.,Users can select workflows known not to be runnable.,Comfy option rendering disabled={false},Disable or clearly mark unavailable entries with remediation.,Unavailable workflows cannot produce false load success.
COMFY-007,P2,Comfy Picker,Scalability/usability weakness,"A flat native select is used for a recursive workflow library with no search, grouping, source filter, favorites, or virtualization.",Discovery degrades quickly as the local library grows.,Comfy picker select rendering,Use a searchable command/menu picker grouped by source/category with recent/favorites.,"A 5,000-workflow fixture can be found by name/path/model in a few keystrokes."
COMFY-008,P2,Comfy Picker,Confirmed provenance ambiguity,"Catalog, local-library, and packaged variants can represent the same logical workflow without clear de-duplication or source identity.",Users can load a different graph than expected and cannot explain machine-to-machine differences.,Workflow list merge and option labeling,"Normalize IDs, show source/version/hash, and define deterministic precedence.",Every option maps to one visible immutable graph identity.
COMFY-009,P2,Comfy Picker / Server,Confirmed performance risk,The server recursively scans the workflow tree and reads graph JSON synchronously on request.,Large local libraries/graphs can block the Node event loop and slow unrelated UI/API activity.,server/aaa-workflow.js listWorkflows/readWorkflowGraph,"Index asynchronously, cache metadata/hash, and invalidate on filesystem changes.",Picker list/graph requests do not create observable event-loop stalls on a large library.
COMFY-010,P2,Comfy Picker / Server,Confirmed resolution ambiguity,Fuzzy substring graph matching can choose an unintended file when IDs overlap.,The wrong workflow can load while the picker label appears correct.,server/aaa-workflow.js findPackageWorkflow/readWorkflowGraph fallback order,Use manifest-backed exact IDs; reject ambiguous matches.,Overlapping-name fixtures either resolve exactly or return an explicit ambiguity error.
COMFY-011,P2,Comfy Picker / Iframe,Confirmed exception-boundary defect,Some contentWindow/contentDocument accesses occur before the protecting try/catch.,Cross-origin or browser-security errors can escape and prevent fallback/error handling.,ComfyUIWorkspace injectGraph and queueVisibleWorkflow,Move all iframe access inside guarded bridge code and treat cross-origin as a first-class state.,"A deliberately cross-origin iframe yields a controlled error, not an unhandled exception."
COMFY-012,P2,Comfy Picker / Queue,Confirmed brittle integration,"Queueing can scrape iframe DOM text and click a visible Queue control, then report success without job/prompt acknowledgement.","UI changes, localization, or delayed queue failure can create false success.",ComfyUIWorkspace queueVisibleWorkflow,Queue through a versioned API/bridge and return prompt/job ID.,Success is shown only after an accepted prompt ID is returned.
COMFY-013,P2,Comfy Picker / Iframe,Confirmed stale-state risk,embedSrc is initialized from health data but does not clearly resynchronize when the configured Comfy URL changes.,Toolbar status and iframe destination can disagree after restart/reconfiguration.,ComfyUIWorkspace embedSrc initialization/update flow,Derive or synchronize iframe source from authoritative health/config state.,Changing engine profile updates status and iframe to the same endpoint.
COMFY-014,P2,Comfy Picker / Iframe,Confirmed recovery gap,"No explicit iframe load timeout, error state, or retry is provided.",A hung engine leaves a blank or indefinite embedded surface.,Comfy iframe event handling,"Add timeout, offline/error panel, restart/retry actions, and preserve context.","Offline, refused, and hung states each resolve to an actionable panel."
COMFY-015,P2,Comfy Picker,Interaction gap,"Selecting the already-selected workflow may not force a reload, especially when the fallback URL does not change.",Users cannot recover a modified/broken canvas from the picker.,Select change and URL fallback behavior,Add explicit Reload selected workflow.,Reload deterministically restores the selected graph after confirmation.
COMFY-016,P2,Comfy Picker,Context/default mismatch,Changing asset context can preserve any currently valid workflow rather than switching or clearly offering the asset default.,A workflow suitable for the prior asset can remain active for the new one.,Asset/default selection effect logic,Show recommended default and prompt to switch when context changes.,Context changes cannot silently leave an incompatible workflow presented as appropriate.
COMFY-017,P3,Comfy Picker,Information architecture gap,defaultForAsset is collected but not surfaced meaningfully in the picker UI.,Users cannot tell which workflow is recommended.,Comfy workflow data/rendering,Add Recommended badge and reset-to-default action.,Recommended workflow is visible and keyboard reachable.
COMFY-018,P2,Comfy Picker / Iframe,Integration fragility,Graph loading depends on private Comfy globals such as app/comfyApp and private methods.,A ComfyUI update can break loading without a compile-time or contract warning.,ComfyUIWorkspace injectGraph,Introduce a versioned extension/bridge owned by Premiere316 with capability negotiation.,Unsupported bridge versions fail closed with remediation.
COMFY-019,P2,Comfy Picker / Iframe,Confirmed async-state defect,Potentially asynchronous graph-load methods are not awaited before success is shown.,The toolbar can report success while loading later fails.,ComfyUIWorkspace injectGraph invocation,Await bridge completion and handle rejection.,"Success is emitted only after graph parse, apply, and canvas-ready acknowledgement."
COMFY-020,P3,Comfy Picker,Provenance gap,"After load, the UI does not prominently show graph source, version/hash, or local-versus-packaged origin.",Reproduction and support are difficult.,Comfy toolbar status content,Show immutable identity and copyable diagnostics.,A screenshot/log can identify the exact loaded graph.
A11Y-001,P2,Accessibility,Confirmed semantic gap,Several glyph-only transport/action controls lack robust accessible names and visible tooltips.,Screen-reader and unfamiliar users cannot identify controls.,Sequence editor transport/action button JSX,"Add accessible names, titles/tooltips, and consistent icon+label semantics.",Automated name/role checks pass and a screen reader announces every control distinctly.
A11Y-002,P2,Accessibility / Timeline,Confirmed keyboard gap,Clip reorder and trim handles are pointer-centric with no equivalent keyboard operation or ARIA value semantics.,Keyboard-only users cannot complete core edits.,Sequence timeline pointer handlers,Add keyboard trim/nudge/reorder commands and announce values.,The entire edit can be completed without a pointer.
A11Y-003,P2,Accessibility / Touch Targets,Confirmed sizing weakness,Multiple controls are approximately 16–28 px and fall below comfortable target dimensions.,"Mis-click risk rises, especially at high DPI or for motor impairments.",Sequence editor inline dimensions and Comfy toolbar styles,"Increase hit areas to at least 40–44 px where practical, without necessarily enlarging the icon.",Primary controls meet the project target-size standard.
A11Y-004,P2,Accessibility / Readability,Confirmed typography weakness,Important status/context text is rendered around 8–10 px.,Legibility is poor on common Windows scaling and dense production displays.,Sequence inline styles and Comfy toolbar CSS,Raise essential UI text and preserve hierarchy through weight/spacing rather than extreme size reduction.,"All functional text is readable at 100%, 125%, and 150% scaling."
A11Y-005,P2,Responsive Layout,Confirmed layout constraint; visual impact needs runtime validation,"The application and sequence workspace enforce large minimum widths, while dense fixed-height regions are likely to fail on 1366×768/1440×900 and split-screen.","Horizontal overflow, clipped controls, and excessive nested scrolling are likely.",global styles min-width and SequenceEditorWorkspace minWidth/fixed regions,Create responsive density breakpoints and low-height layouts; avoid requiring viewport-wide horizontal scrolling.,"Core workflows pass at 1366×768, 1440×900, 1920×1080, 4K, and Windows 150% scaling."
A11Y-006,P2,Accessibility / Status,Confirmed feedback gap,Import scanning/progress and playback buffering are not exposed through a consistent live-region status model.,Screen-reader users receive little or no operational feedback.,Folder import and playback state rendering,Add polite progress updates and assertive failure announcements without chatter.,"A screen reader can follow start, progress, completion, and failure."
A11Y-007,P2,Accessibility / Contrast,Requires rendered measurement,Muted small text and dense dark-theme controls appear at risk of insufficient contrast.,"Status, metadata, and disabled/enabled distinctions may be hard to perceive.",Static style review; live color sampling not available,Run rendered WCAG contrast checks and adjust semantic tokens.,Text and control boundaries meet the chosen WCAG AA targets.
A11Y-008,P2,Keyboard / Shortcuts,Confirmed scope defect,Space/Delete/S shortcuts are global and largely protected only by input-element checks rather than editor focus/context.,Commands can fire while the user is interacting with unrelated non-input controls.,SequenceEditorWorkspace global keydown handler,"Scope shortcuts to an active editor region, support command discovery, and honor modal/contenteditable contexts.",No edit command fires outside the focused editor context.
A11Y-009,P3,Accessibility / Dynamic Content,High-confidence usability risk,Periodic refresh/filter changes can reorder content without preserving focus or announcing the update.,Keyboard and screen-reader users can lose their place.,Sequence media refresh and list rendering,Preserve stable focus/selection and announce meaningful changes.,Refresh does not move focus or silently change the active item.
A11Y-010,P3,Sequence / Audio UI,Visual truthfulness weakness,Waveform-like bars are decorative rather than derived from audio.,The UI implies information it does not actually convey.,Sequence audio clip rendering,Render real waveform data or use a neutral clip texture.,Visual amplitude corresponds to the source or is clearly non-informational.
PROC-001,P2,Change Management,Confirmed scope contamination,"The feature commit also changes Create Sound, TTS/server areas, and a very large production storyboard file.","Review, rollback, bisecting, and regression attribution are harder.",17234f7 changed-file list and commit statistics,"Split product feature, runtime support, and project-data changes into isolated commits/PRs.",Each release change is independently reviewable and revertible.
PROC-002,P2,Diagnostics / Remediation,Confirmed evidence gap from user statement,Diagnostics and patch scripts stayed local and are therefore unavailable for review or reproducible repair.,The commit cannot be independently validated against the developer's local evidence/fixes.,User release note plus absence from changed files,"Commit sanitized diagnostics, expected outputs, and idempotent patch/migration scripts in a dedicated tooling location.",Another machine can reproduce the diagnostic result and repair from source.
PROC-003,P3,Source Integrity,Confirmed process note,The commit is unsigned.,Provenance is weaker than a verified release workflow.,GitHub commit verification metadata,Sign protected release commits/tags if provenance is a project requirement.,Release tag/commit is verified.
PROC-004,P2,Repository Hygiene,Confirmed repository risk,A very large mutable storyboard JSON is included in the same feature commit.,"Merge conflicts, repository growth, accidental state rollback, and noisy diffs increase.",Commit tree/changed-file metadata,Move generated/operational project state to appropriate storage or normalize/split it.,Feature code review is not dominated by generated production data.
PROC-005,P2,Test Coverage,Confirmed gap,No tests were added for the advertised interactions in this commit.,The new behavior has no regression lock.,17234f7 changed-file list,"Land tests with each feature, not as a later patch.",Every blocker and primary happy path has an automated regression test.
