task_id,source_issue_id,workstream,priority,release_gate,task_type,scope_class,applies_to_17234f7,added_in_reconciliation,task_title,problem_rationale,required_implementation,acceptance_criteria,evidence_anchor,evidence_url,owner_role,phase,effort,dependencies,uat_case_ids,status,progress_pct,target_sprint,due_date,origin,notes_decision
COMFY-008,COMFY-008,Comfy Picker,P2,Conditional,Comfy Integration,Confirmed provenance ambiguity,Yes,No,"Normalize IDs, show source/version/hash, and define deterministic precedence","Catalog, local-library, and packaged variants can represent the same logical workflow without clear de-duplication or source identity. Users can load a different graph than expected and cannot explain machine-to-machine differences.","Normalize IDs, show source/version/hash, and define deterministic precedence.",Every option maps to one visible immutable graph identity.,Workflow list merge and option labeling,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Comfy Integration + Frontend,G1 — State truth & silent loss,M,"COMFY-001,COMFY-003",UAT-COMFY-020,Not Started,0,,,Existing 74-item source audit,
COMFY-015,COMFY-015,Comfy Picker,P2,Conditional,Comfy Integration,Interaction gap,Yes,No,Add explicit Reload selected workflow,"Selecting the already-selected workflow may not force a reload, especially when the fallback URL does not change. Users cannot recover a modified/broken canvas from the picker.",Add explicit Reload selected workflow.,Reload deterministically restores the selected graph after confirmation.,Select change and URL fallback behavior,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Comfy Integration + Frontend,G1 — State truth & silent loss,M,COMFY-001,"UAT-COMFY-017,UAT-COMFY-021",Done,100,,,Existing 74-item source audit,Implemented 2026-08-22: Reload selected workflow
COMFY-016,COMFY-016,Comfy Picker,P2,Conditional,Comfy Integration,Context/default mismatch,Yes,No,Show recommended default and prompt to switch when context changes,Changing asset context can preserve any currently valid workflow rather than switching or clearly offering the asset default. A workflow suitable for the prior asset can remain active for the new one.,Show recommended default and prompt to switch when context changes.,Context changes cannot silently leave an incompatible workflow presented as appropriate.,Asset/default selection effect logic,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Comfy Integration + Frontend,G1 — State truth & silent loss,M,COMFY-001,UAT-COMFY-018,Not Started,0,,,Existing 74-item source audit,
COMFY-011,COMFY-011,Comfy Picker / Iframe,P2,Conditional,Comfy Integration,Confirmed exception-boundary defect,Yes,No,Move all iframe access inside guarded bridge code and treat cross-origin as a first-class state,Some contentWindow/contentDocument accesses occur before the protecting try/catch. Cross-origin or browser-security errors can escape and prevent fallback/error handling.,Move all iframe access inside guarded bridge code and treat cross-origin as a first-class state.,"A deliberately cross-origin iframe yields a controlled error, not an unhandled exception.",ComfyUIWorkspace injectGraph and queueVisibleWorkflow,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Comfy Integration + Frontend,G1 — State truth & silent loss,M,COMFY-001,UAT-COMFY-011,Done,100,,,Existing 74-item source audit,Implemented 2026-08-22: All iframe access guarded
COMFY-013,COMFY-013,Comfy Picker / Iframe,P2,Conditional,Comfy Integration,Confirmed stale-state risk,Yes,No,Derive or synchronize iframe source from authoritative health/config state,embedSrc is initialized from health data but does not clearly resynchronize when the configured Comfy URL changes. Toolbar status and iframe destination can disagree after restart/reconfiguration.,Derive or synchronize iframe source from authoritative health/config state.,Changing engine profile updates status and iframe to the same endpoint.,ComfyUIWorkspace embedSrc initialization/update flow,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Comfy Integration + Frontend,G1 — State truth & silent loss,M,COMFY-001,UAT-COMFY-016,Not Started,0,,,Existing 74-item source audit,
COMFY-014,COMFY-014,Comfy Picker / Iframe,P2,Conditional,Comfy Integration,Confirmed recovery gap,Yes,No,"Add timeout, offline/error panel, restart/retry actions, and preserve context","No explicit iframe load timeout, error state, or retry is provided. A hung engine leaves a blank or indefinite embedded surface.","Add timeout, offline/error panel, restart/retry actions, and preserve context.","Offline, refused, and hung states each resolve to an actionable panel.",Comfy iframe event handling,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Comfy Integration + Frontend,G1 — State truth & silent loss,M,COMFY-001,"UAT-COMFY-014,UAT-COMFY-015",Not Started,0,,,Existing 74-item source audit,
COMFY-018,COMFY-018,Comfy Picker / Iframe,P2,Conditional,Comfy Integration,Integration fragility,Yes,No,Introduce a versioned extension/bridge owned by Premiere316 with capability negotiation,Graph loading depends on private Comfy globals such as app/comfyApp and private methods. A ComfyUI update can break loading without a compile-time or contract warning.,Introduce a versioned extension/bridge owned by Premiere316 with capability negotiation.,Unsupported bridge versions fail closed with remediation.,ComfyUIWorkspace injectGraph,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Comfy Integration + Frontend,G1 — State truth & silent loss,M,COMFY-001,UAT-COMFY-011,Not Started,0,,,Existing 74-item source audit,
COMFY-019,COMFY-019,Comfy Picker / Iframe,P2,Conditional,Comfy Integration,Confirmed async-state defect,Yes,No,Await bridge completion and handle rejection,Potentially asynchronous graph-load methods are not awaited before success is shown. The toolbar can report success while loading later fails.,Await bridge completion and handle rejection.,"Success is emitted only after graph parse, apply, and canvas-ready acknowledgement.",ComfyUIWorkspace injectGraph invocation,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Comfy Integration + Frontend,G1 — State truth & silent loss,M,COMFY-001,"UAT-COMFY-002,UAT-COMFY-008",Done,100,,,Existing 74-item source audit,Implemented 2026-08-22: Await loadGraphData before success
COMFY-012,COMFY-012,Comfy Picker / Queue,P2,Conditional,Comfy Integration,Confirmed brittle integration,Yes,No,Queue through a versioned API/bridge and return prompt/job ID,"Queueing can scrape iframe DOM text and click a visible Queue control, then report success without job/prompt acknowledgement. UI changes, localization, or delayed queue failure can create false success.",Queue through a versioned API/bridge and return prompt/job ID.,Success is shown only after an accepted prompt ID is returned.,ComfyUIWorkspace queueVisibleWorkflow,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Comfy Integration + Frontend,G1 — State truth & silent loss,M,"COMFY-001,COMFY-002","UAT-COMFY-012,UAT-COMFY-013",Not Started,0,,,Existing 74-item source audit,
COMFY-010,COMFY-010,Comfy Picker / Server,P2,Conditional,Comfy Integration,Confirmed resolution ambiguity,Yes,No,Use manifest-backed exact IDs; reject ambiguous matches,Fuzzy substring graph matching can choose an unintended file when IDs overlap. The wrong workflow can load while the picker label appears correct.,Use manifest-backed exact IDs; reject ambiguous matches.,Overlapping-name fixtures either resolve exactly or return an explicit ambiguity error.,server/aaa-workflow.js findPackageWorkflow/readWorkflowGraph fallback order,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/blob/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9/server/aaa-workflow.js,Backend + Comfy Integration,G1 — State truth & silent loss,M,COMFY-003,UAT-COMFY-009,Done,100,,,Existing 74-item source audit,Implemented 2026-08-22: Exact IDs; ambiguous matches 409
IMP-015,IMP-015,Sequence / Folder Drop,P2,Conditional,Import / Reliability,Confirmed silent no-op,Yes,No,Always report scanned and rejected totals/reasons,A drop containing only unsupported files can return without actionable feedback. Users do not know whether the drop was seen.,Always report scanned and rejected totals/reasons.,Unsupported-only drops produce a persistent explanatory result.,eligible-file filtering and early return,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Full Stack,G1 — State truth & silent loss,M,,UAT-DROP-002,Done,100,,,Existing 74-item source audit,Implemented 2026-08-22: Unsupported-only drops produce a persistent report
IMP-016,IMP-016,Sequence / Folder Drop,P2,Conditional,Import / Reliability,Confirmed recovery gap,Yes,No,Retain a session result object with retry/export,There is no failed-only retry or exportable error list. Users must re-drop entire folders and risk more duplicates.,Retain a session result object with retry/export.,Retry failed reprocesses only failed items.,Import result UI,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Full Stack,G1 — State truth & silent loss,M,IMP-001,UAT-DROP-014,Not Started,0,,,Existing 74-item source audit,
IMP-023,IMP-023,Sequence / Folder Drop,P2,Conditional,Product / Reliability,Behavior contract missing,Yes,Yes,"Define and implement a deterministic policy: keep preview playing with non-blocking import, or pause with explanation; never allow import to bypass an unresolved edit conflict","The product does not define what happens when a folder is dropped while the sequence is playing, autosaving, or in a revision-conflict state. Playback, selection, save state, and import feedback can compete, making the result difficult to understand or reproduce.","Define and implement a deterministic policy: keep preview playing with non-blocking import, or pause with explanation; never allow import to bypass an unresolved edit conflict.","Dropping during playback and during a save conflict produces the documented state with no lost edit, duplicated action, or hidden media failure.",Sequence editor import and transport state are independent,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Product + Frontend,G1 — State truth & silent loss,M,,UAT-DROP-027,Not Started,0,,,User QA plan,
SCOPE-006,SCOPE-006,Product Scope / BlokeyUI Boundary,P3,Conditional,Scope / Release,Scope clarification,Yes,Yes,"Keep BlokeyUI code/UI out of the audit, but require a tracked workflow manifest or deterministic import contract at the Premiere316 boundary","BlokeyUI implementation details are out of scope, but the released picker still depends on a workflow path inside that local tree. Ignoring the dependency contract would leave clean-clone reproducibility unresolved even while respecting the implementation boundary.","Keep BlokeyUI code/UI out of the audit, but require a tracked workflow manifest or deterministic import contract at the Premiere316 boundary.",The release can be reproduced without reviewing or modifying private/local BlokeyUI internals.,User scope statement and COMFY-003,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Architecture + Release,G1 — State truth & silent loss,S,COMFY-003,,Done,100,,,Reconciliation scope correction,Implemented 2026-08-22: ADR 0001 + packaged manifest
SEQ-AUD-001,SEQ-AUD-001,Sequence / Audio,P1,Yes,Audio / Media Engine,Confirmed code defect,Yes,No,"Use Web Audio GainNode or another path that supports gain above unity, or remove positive gain from the UI/export contract","Preview gain converts dB to linear gain and clamps it to 0–1, while the editor/export path permits positive gain up to +12 dB. Preview and export do not match. A +12 dB clip previews at unity but exports at roughly 3.98× linear gain, creating surprise loudness or clipping.","Use Web Audio GainNode or another path that supports gain above unity, or remove positive gain from the UI/export contract.","For -24, -12, 0, +6, and +12 dB, preview and exported integrated/peak levels agree within 0.5 dB.",client/src/components/SequenceEditorWorkspace.tsx — dB gain clamp; server/ffmpeg.js — export volume application,"https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/blob/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9/client/src/components/SequenceEditorWorkspace.tsx
https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/blob/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9/server/ffmpeg.js",Media Engine,G2 — Playback/import architecture,XL,,"UAT-PLAY-004,UAT-PLAY-014",In Progress,70,,,Existing 74-item source audit,Implemented 2026-08-22: Preview GainNode not clamped; measured export parity still open
IMP-003,IMP-003,Sequence / Folder Drop,P1,Yes,Import / Reliability,Confirmed server architecture risk,Yes,No,"Stream multipart data directly to a staging file, validate while streaming, atomically rename, expose progress, and make limits explicit in the UI","Large uploads use in-memory multipart buffering and synchronous disk writes, with very large configured limits. Large AI-video imports can spike process memory, block the event loop, freeze the UI/API, or terminate the server.","Stream multipart data directly to a staging file, validate while streaming, atomically rename, expose progress, and make limits explicit in the UI.",Importing files near the configured limit does not cause a material event-loop stall or memory spike proportional to full file size.,server/index.js — multer memory storage/limits and import routes; server/sequence-editor.js — synchronous writes,"https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/blob/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9/server/index.js
https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/blob/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9/server/sequence-editor.js",Full Stack,G2 — Playback/import architecture,L,,UAT-DROP-003,In Progress,60,,,Existing 74-item source audit,Implemented 2026-08-22: Editor uploads use disk staging + atomic rename; other multer routes still memory
SEQ-PLAY-001,SEQ-PLAY-001,Sequence / Playback,P1,Yes,Sequence / Media Engine,Confirmed code defect; runtime impact high-confidence,Yes,No,Make media readiness authoritative,"The program clock advances from requestAnimationFrame wall-clock time even while the current video is waiting, stalled, seeking, or not ready. The playhead and auxiliary audio can move ahead while picture is frozen, followed by a hard seek or skipped visual material. Editorial timing cannot be trusted.",Make media readiness authoritative. Pause the transport clock on waiting/stalled/seeking; resume only after canplay/seeked. Use a shared master clock and explicit buffering state.,"Under throttled decode/network conditions, the program playhead does not advance during a stall; picture and audio return within one frame at 24 fps.",client/src/components/SequenceEditorWorkspace.tsx — beginPlayback/requestAnimationFrame and media synchronization logic,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/blob/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9/client/src/components/SequenceEditorWorkspace.tsx,Media Engine + Frontend,G2 — Playback/import architecture,XL,,"UAT-PLAY-002,UAT-PLAY-003",In Progress,70,,,Existing 74-item source audit,Implemented 2026-08-22: Clock freezes on waiting/stalled/seeking
SEQ-PLAY-002,SEQ-PLAY-002,Sequence / Playback,P1,Yes,Sequence / Media Engine,Confirmed architecture; runtime impact high-confidence,Yes,No,"Use two alternating video elements or a media buffer, preload the next source, seek it before the seam, and swap only after readiness is acknowledged","Every cut remounts a single <video> element keyed by clip ID, with no next-clip preload, double buffer, preroll, or readiness gate. Cuts can flash black, show the prior frame, or stall on real 4K/AI-generated media and slow disks.","Use two alternating video elements or a media buffer, preload the next source, seek it before the seam, and swap only after readiness is acknowledged.","A 50-cut mixed-codec sequence plays three consecutive passes with zero black frames, zero stale frames, and no seam stall.",client/src/components/SequenceEditorWorkspace.tsx — program monitor JSX and currentProgramClip key/src handling,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/blob/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9/client/src/components/SequenceEditorWorkspace.tsx,Media Engine + Frontend,G2 — Playback/import architecture,XL,,UAT-PLAY-001,In Progress,50,,,Existing 74-item source audit,Implemented 2026-08-22: No remount + preload element; not a proven 50-cut dual swap
SEQ-PLAY-007,SEQ-PLAY-007,Sequence / Audio,P2,Conditional,Sequence / Media Engine,Confirmed missing control,Yes,No,Add peak/RMS or LUFS-oriented metering and a clipping indicator,"There is no master meter, clip meter, clipping indication, or preview master gain. Users cannot detect overloads or judge loudness before export.",Add peak/RMS or LUFS-oriented metering and a clipping indicator.,Positive-gain clipping is visibly identified during preview.,Sequence editor program/audio UI,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Media Engine,G2 — Playback/import architecture,M,SEQ-AUD-001,UAT-PLAY-004,Not Started,0,,,Existing 74-item source audit,
IMP-004,IMP-004,Sequence / Folder Drop,P2,Conditional,Import / Reliability,Confirmed feedback gap,Yes,No,Show scanning state immediately with discovered/eligible counts,"Folder traversal can be lengthy, but upload/busy state starts only after traversal completes. A deep folder appears to do nothing after drop.",Show scanning state immediately with discovered/eligible counts.,Feedback appears within 100 ms of drop and updates throughout traversal.,drop traversal flow before importDroppedMedia,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Full Stack,G2 — Playback/import architecture,M,"IMP-001,IMP-003",UAT-DROP-005,Done,100,,,Existing 74-item source audit,Implemented 2026-08-22: Scanning state starts immediately on drop
IMP-005,IMP-005,Sequence / Folder Drop,P2,Conditional,Import / Reliability,Confirmed missing control,Yes,No,"Add bounded concurrency, progress, and cancellation","Uploads are sequential with no per-file progress, total progress, current filename, pause, or cancel. Large imports feel frozen and cannot be safely interrupted.","Add bounded concurrency, progress, and cancellation.",A 100-file import exposes deterministic progress and can cancel without corrupting metadata.,SequenceEditorWorkspace import loop,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Full Stack,G2 — Playback/import architecture,M,IMP-003,"UAT-DROP-006,UAT-DROP-020",Not Started,0,,,Existing 74-item source audit,
IMP-006,IMP-006,Sequence / Folder Drop,P2,Conditional,Import / Reliability,Confirmed payload-handling defect,Yes,No,Merge and de-duplicate both entry traversal and dataTransfer,"If any DataTransfer item yields a webkit entry, fallback files are not added; mixed payloads can lose non-entry items. Some dragged files disappear from mixed operating-system/browser payloads.",Merge and de-duplicate both entry traversal and dataTransfer.files.,Mixed file/folder payload fixtures import every eligible file exactly once.,SequenceEditorWorkspace drop item/fallback branching,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Full Stack,G2 — Playback/import architecture,M,IMP-018,UAT-DROP-007,Done,100,,,Existing 74-item source audit,"Implemented 2026-08-22: Merge entries and files, de-dupe by name/size/mtime"
